Dept.City,Arr.City,Numbers,Airlines,Dept.Time,Arr.TIme,Dept.IATA,Arr.IATA,Day,,,,,,,,,
AKESU,BEIJING,CA1276,CA,15:40,21:40,AKU,PEK,"[1,3,5,7]",,,,,,,,,
AKESU,CHONGQING,CA4576,CA,13:35,17:55,AKU,CKG,[1],,,,,,,,,
AKESU,HANGZHOU,CZ6919,CZ,8:00,14:25,AKU,HGH,"[1,2,3,4,5,6,7]",,,,,,,,,
HANGZHOU,BEIHAI,CZ3988,CZ,20:50,23:45,HGH,BHY,"[1,3,5,7]",,,,,,,,,
HANGZHOU,BEIJING,CA1701,CA,7:05,9:25,HGH,PEK,"[1,2,3,4,5,6,7]",,,,,,,,,
KUNMING,XIAMEN,SC4770,SC,20:55,23:35,KMG,XMN,"[1,2,3,4,5,6,7]",,,,,,,,,
KUNMING,XIAN,KY8213,KY,10:20,12:35,KMG,XIY,"[1,2,3,4,5,6,7]",,,,,,,,,
SANYA,BEIJING,MF4319,MF,9:20,12:20,SYX,PEK,"[1,3,5]",,,,,,,,,
SANYA,YUNCHEN,GS6496,GS,17:35,18:45,SYX,ZHA,"[2,4,7]",,,,,,,,,
SANYA,ZHENGZHOU,JD5397,JD,6:25,9:30,SYX,CGO,"[4,6]",,,,,,,,,
SHENZHEN,SHENYANG,KY9607,KY,19:00,22:55,SZX,SHE,"[1,2,3,4,5,6,7]",,,,,,,,,
SHENZHEN,SHIJIAZHUANG,MF7016,MF,11:55,14:45,SZX,SJW,"[1,2,3,4,5,6,7]",,,,,,,,,
SHENZHEN,TAIYUAN,ZH9131,ZH,8:50,11:50,SZX,TYN,"[1,2,3,4,5,6,7]",,,,,,,,,
TAIYUAN,CHENGDU,MU5278,MU,20:15,22:30,TYN, CTU,"[1,2,3,4,5,6,7]",,,,,,,,,
TAIYUAN,CHONGQING,CZ5836,CZ,11:25,14:40,TYN,CKG,"[1,2,3,4,5,6,7]",,,,,,,,,
WENZHOU,KUNMING,CA1955,CA,8:00,11:25,WNZ,KMG,"[1,2,3,4,5,6,7]",,,,,,,,,
XIAN,CHONGQING,MU2327,MU,20:00,21:35,XIY,CKG,[2],,,,,,,,,
YANTAI,SHIJIAZHUANG,CA4794,CA,17:35,18:55,YNT,SJW,"[1,2,3,4,5,6,7]",,,,,,,,,
